Analiz Başladı

Kare #5 | Kişi: Aysu | Duygu: Happy (99.7%)
Kare #10 | Kişi: Selin | Duygu: Happy (89.8%)
Kare #15 | Kişi: Selin | Duygu: Happy (99.8%)
Kare #20 | Kişi: Selin | Duygu: Happy (99.5%)
Kare #25 | Kişi: Selin | Duygu: Happy (70.7%)
Kare #30 | Kişi: Selin | Duygu: Sad (96.7%)
Kare #35 | Kişi: Selin | Duygu: Happy (85.4%)
Kare #40 | Kişi: Aysu | Duygu: Happy (99.8%)
Kare #45 | Kişi: Selin | Duygu: Happy (92.5%)
Kare #50 | Kişi: Aysu | Duygu: Happy (99.5%)
Kare #55 | Kişi: Selin | Duygu: Happy (99.9%)
Kare #60 | Kişi: Aysu | Duygu: Happy (89.0%)
Kare #65 | Kişi: Aysu | Duygu: Happy (67.0%)
Kare #70 | Kişi: Aysu | Duygu: Sad (97.7%)
Kare #75 | Kişi: Selin | Duygu: Happy (96.5%)
Kare #80 | Kişi: Aysu | Duygu: Happy (54.6%)
Kare #85 | Kişi: Kader | Duygu: Happy (51.9%)
Kare #90 | Kişi: Aysu | Duygu: Sad (98.6%)
Kare #95 | Kişi: Aysu | Duygu: Sad (87.8%)
Kare #100 | Kişi: Selin | Duygu: Happy (64.9%)
Kare #105 | Kişi: Aysu | Duygu: Sad (83.1%)
Kare #110 | Kişi: Aysu | Duygu: Happy (56.5%)
Kare #115 | Kişi: Aysu | Duygu: Happy (99.7%)
Kare #120 | Kişi: Aysu | Duygu: Happy (88.0%)
Kare #125 | Kişi: Aysu | Duygu: Sad (75.5%)
Kare #130 | Kişi: Aysu | Duygu: Happy (99.9%)
Kare #135 | Kişi: Selin | Duygu: Happy (73.9%)
Kare #140 | Kişi: Selin | Duygu: Sad (94.7%)
Kare #145 | Kişi: Aysu | Duygu: Happy (73.6%)
Kare #150 | Kişi: Aysu | Duygu: Happy (84.6%)
Kare #155 | Kişi: Selin | Duygu: Sad (88.5%)
Kare #160 | Kişi: Aysu | Duygu: Sad (91.5%)
Kare #165 | Kişi: Aysu | Duygu: Sad (77.0%)
Kare #170 | Kişi: Aysu | Duygu: Happy (98.9%)
Kare #175 | Kişi: Aysu | Duygu: Happy (74.3%)
Kare #180 | Kişi: Selin | Duygu: Sad (98.5%)
Kare #185 | Kişi: Aysu | Duygu: Sad (70.5%)
Kare #190 | Kişi: Selin | Duygu: Happy (99.1%)
Kare #195 | Kişi: Aysu | Duygu: Happy (99.7%)
Kare #200 | Kişi: Aysu | Duygu: Happy (80.7%)
Kare #205 | Kişi: Selin | Duygu: Sad (84.6%)
Kare #210 | Kişi: Selin | Duygu: Sad (51.5%)
Kare #215 | Kişi: Selin | Duygu: Happy (99.0%)
Kare #220 | Kişi: Selin | Duygu: Sad (71.9%)
Kare #225 | Kişi: Selin | Duygu: Sad (86.5%)
Kare #225 | Kişi: Selin | Duygu: Sad (92.6%)
Kare #230 | Kişi: Aysu | Duygu: Happy (61.4%)
Kare #235 | Kişi: Aysu | Duygu: Sad (98.2%)
Kare #240 | Kişi: Aysu | Duygu: Happy (98.2%)
Kare #245 | Kişi: Aysu | Duygu: Happy (57.7%)
Kare #250 | Kişi: Selin | Duygu: Happy (99.2%)
Kare #255 | Kişi: Kader | Duygu: Happy (99.9%)
Kare #260 | Kişi: Kader | Duygu: Happy (98.1%)
Kare #265 | Kişi: Aysu | Duygu: Happy (99.9%)
Kare #270 | Kişi: Kader | Duygu: Happy (100.0%)
Kare #275 | Kişi: Kader | Duygu: Happy (68.1%)
Kare #280 | Kişi: Kader | Duygu: Happy (69.8%)
Kare #285 | Kişi: Kader | Duygu: Happy (65.8%)
Kare #290 | Kişi: Aysu | Duygu: Sad (82.7%)
Kare #295 | Kişi: Aysu | Duygu: Happy (98.2%)
Kare #300 | Kişi: Selin | Duygu: Happy (95.9%)
Kare #305 | Kişi: Aysu | Duygu: Happy (87.6%)
Kare #310 | Kişi: Selin | Duygu: Happy (61.5%)
Kare #315 | Kişi: Aysu | Duygu: Sad (93.7%)
Kare #320 | Kişi: Aysu | Duygu: Sad (99.2%)
Kare #325 | Kişi: Aysu | Duygu: Sad (55.9%)
Kare #330 | Kişi: Selin | Duygu: Happy (89.3%)
Kare #335 | Kişi: Aysu | Duygu: Sad (84.9%)
Kare #340 | Kişi: Selin | Duygu: Sad (78.8%)
Kare #345 | Kişi: Aysu | Duygu: Happy (99.9%)
Kare #350 | Kişi: Selin | Duygu: Happy (96.0%)
Kare #355 | Kişi: Selin | Duygu: Sad (99.4%)
Kare #360 | Kişi: Selin | Duygu: Sad (68.6%)
Kare #365 | Kişi: Selin | Duygu: Sad (99.3%)
Kare #365 | Kişi: Selin | Duygu: Sad (51.8%)
Kare #370 | Kişi: Selin | Duygu: Sad (72.8%)
Kare #370 | Kişi: Aysu | Duygu: Sad (99.9%)
Kare #375 | Kişi: Aysu | Duygu: Sad (99.9%)
Kare #380 | Kişi: Aysu | Duygu: Happy (59.6%)
Kare #385 | Kişi: Aysu | Duygu: Sad (96.8%)
Kare #390 | Kişi: Aysu | Duygu: Sad (69.8%)
Kare #395 | Kişi: Selin | Duygu: Sad (99.9%)
Kare #400 | Kişi: Selin | Duygu: Happy (91.7%)
Kare #400 | Kişi: Selin | Duygu: Sad (99.7%)
Kare #405 | Kişi: Aysu | Duygu: Sad (100.0%)
Kare #410 | Kişi: Kader | Duygu: Sad (100.0%)
Kare #415 | Kişi: Kader | Duygu: Sad (100.0%)
Kare #420 | Kişi: Aysu | Duygu: Happy (94.8%)
Kare #425 | Kişi: Aysu | Duygu: Happy (100.0%)
Kare #430 | Kişi: Aysu | Duygu: Happy (93.7%)
Kare #435 | Kişi: Kader | Duygu: Happy (99.6%)
Kare #440 | Kişi: Selin | Duygu: Happy (85.0%)
Kare #445 | Kişi: Selin | Duygu: Happy (100.0%)
Kare #450 | Kişi: Aysu | Duygu: Happy (97.7%)
Kare #455 | Kişi: Aysu | Duygu: Happy (98.4%)
